,attrubute_month,enterprise_name,usc_id,claim_id,总分
186,2023-09,深圳市铨兴科技有限公司,91440300MA5DJ3H835,486086683196915715,41.90860111402999
187,2023-10,深圳市一恒科电子科技有限公司,914403000758070609,486086683700232195,51.28325679604999
188,2023-06,深圳市顺为信立科技有限公司,91440300MA5GCXBE05,486087409331601411,46.14397761431
189,2023-06,深圳市芯科睿电子科技有限责任公司,91440300MA5F1NW95M,486087409633591299,40.195306041609996
190,2023-06,深圳市鲸刚科技有限公司,91440300MA5GK174XR,486087409935581187,40.29393049557
191,2023-06,深圳市源微创新实业有限公司,91440300398508006X,486087410187239427,52.197440838800006
192,2023-07,汇钜电科（东莞）实业有限公司,91441900MA518B0W2Y,486087410489229315,55.79724304631
193,2023-07,广州紫麦科技有限公司,91440106347403386C,486087410858328067,35.51987955449
194,2023-07,广州茂晨科技有限公司,91440101MA59N12D19,486087411126763523,40.65105803453
195,2023-07,杭州川保电子科技有限公司,91330110MA2J1JP04F,486087411395198979,36.16201093001
196,2023-06,东莞市谦腾科技有限公司,91441900MABUA39K89,486087411663634435,30.27748178008
197,2023-07,东莞市谦腾科技有限公司,91441900MABUA39K89,486087411932069891,30.27748178008
198,2023-07,上海业声电子科技有限公司,91310114MA1GT0D04C,486087412133396483,38.39533776265
199,2023-07,深圳图美客商用显示设备有限公司,914403000561959868,486087412368277507,32.049129848949995
200,2023-07,江西瑞德电子有限公司,91360481MA35YPTC3R,486087412603158531,46.678968156189995
201,2023-07,深圳银翔合众实业有限公司,91440300597784062E,486087413022588931,44.587965958469994
202,2023-08,深圳芯邦科技股份有限公司,914403007741138342,486087413324578819,56.169463732539995
203,2023-08,深圳弘毅智造科技有限公司,91440300MA5FEL767P,486087413693677571,42.53575802001001
204,2023-08,深圳市新盈恒科技有限公司,91440300MA5GC2829G,486087414062776323,35.15835188867
205,2023-08,深圳市富芯通科技有限公司,91440300MA5EJCP8XB,486087414465429507,42.887291441529996
206,2023-08,深圳市晶测科技有限公司,91440300MA5ET9NG98,486087414834528259,47.659126458189995
207,2023-09,深圳市晶测科技有限公司,91440300MA5ET9NG98,486087414935191555,47.659126458189995
208,2023-08,深圳市卓信特通讯科技有限公司,91440300311635492R,486087415203627011,42.92511921303999
209,2023-08,深圳市灵畅互动科技有限公司,91440300559852415A,486087415505616899,40.32812409690999
210,2023-09,深圳市阿诺迪电子有限公司,91440300083869114Q,486087415874715651,43.76556572615
211,2023-02,深圳市天耀电子有限公司,914403006911707615,486087416361254915,36.48939928765999
212,2023-09,深圳市天耀电子有限公司,914403006911707615,486087416495472643,41.18192104665
213,2022-11,德中（深圳）激光智能科技有限公司,91440300MA5FC82P4D,486087416814239747,40.52890198330999
214,2023-10,德中（深圳）激光智能科技有限公司,91440300MA5FC82P4D,486087416998789123,45.88548479905
215,2022-11,广东德中设备租赁有限公司,91440300MA5FYENP4M,486087417401442307,44.46395339057
216,2023-10,广东德中设备租赁有限公司,91440300MA5FYENP4M,486087417569214467,37.14938734057
217,2023-10,联芯半导体（深圳）有限公司,91440300350006672M,486087417787318275,41.59305048409
218,2023-08,江西骏达触显光电股份有限公司,91360700MABT2C2W1G,486087777373388803,32.10421522157
219,2023-02,深圳市道格恒通科技有限公司,9144030031164214X9,486088792663392259,53.95568786703001
220,2023-06,深圳市道格恒通科技有限公司,9144030031164214X9,486088792696946691,57.47960325928
221,2023-07,深圳市道格恒通科技有限公司,9144030031164214X9,486088792797609987,57.47960325928
222,2023-08,深圳市道格恒通科技有限公司,9144030031164214X9,486088792898273283,57.47960325928
223,2023-11,深圳市道格恒通科技有限公司,9144030031164214X9,486235529298372630,54.84054123687001
224,2023-11,深圳市道格恒通科技有限公司,9144030031164214X9,486235529399035926,50.71139651313
225,2023-11,杭州恒毅信息技术有限公司,91330108MA27WX9X9M,486352097378363414,53.96852175387
226,2023-11,杭州恒毅信息技术有限公司,91330108MA27WX9X9M,486352097596467222,48.94933032777001
227,2023-11,广东德中众惠智能装备科技有限公司,91440300MA5GF08U93,486621472375236630,44.88613858921
228,2023-10,广东德中众惠智能装备科技有限公司,91440300MA5GF08U93,486624442697383939,32.90207969049
229,2023-11,广东德中众惠智能装备科技有限公司,91440300MA5GF08U93,486624442881933315,37.042619769249995
230,2023-11,鲨湾科技（青岛）有限公司,91370220MABLRFN19G,486654397728686083,40.02729025628
231,2023-11,深圳市勤迈电子有限公司,91440300692542555W,487203719667002518,48.94083434457001
232,2023-11,深圳市勤迈电子有限公司,91440300692542555W,487203719952215190,44.212478982869996
233,2023-11,深圳市勤迈电子有限公司,91440300692542555W,487203720187096214,48.94083434457001
234,2023-11,深圳市芯科睿电子科技有限责任公司,91440300MA5F1NW95M,487208540784569494,40.272619327049995
235,2023-11,深圳市芯科睿电子科技有限责任公司,91440300MA5F1NW95M,487208541036227734,40.272619327049995
236,2023-11,深圳市华商数据科技有限公司,91440300MA5DC1WL1W,487379961586384899,37.08025190292
237,2023-11,深圳市迈科斯特电子有限公司,91440300570042376X,488367577890875414,41.84710735643
238,2023-11,深圳市迈亿商贸有限公司,91440300MA5DAC4Y9P,488662660515102724,50.753060450229995
239,2023-11,深圳市景森技术有限公司,91440300MA5FGAT68X,489094507581669380,37.92393732417
240,2023-01,深圳可为创想智能科技有限公司,91440300071761114X,489390762799136772,56.10024726392
241,2023-02,深圳可为创想智能科技有限公司,91440300071761114X,489390762950131716,56.10024726392
242,2023-11,深圳市鑫美铝业有限公司,91440300568541248G,489409391431254020,49.857861650939995
243,2023-11,惠州市万桥重工科技有限公司,91441324MAC18J339K,489724090563690500,30.30683821868
244,2023-12,上海寰储电子科技有限公司,91310115MA1K3BPTX1,490130393547204630,33.26521806311
245,2023-12,苏福（深圳）科技有限公司,914403003564503870,490291656466104323,46.59174185973
246,2023-12,四川西南联盛通讯技术有限公司,91511500MA65086L4H,490417285534580739,43.41837259975
247,2023-12,宜宾威达光电有限公司,91511500MA6B09AG74,490440058239772694,39.532086877619996
248,2023-04,泸州禾苗通信科技有限公司,91510500MA67CPNH38,490536848515399683,53.36709071607
249,2023-08,泸州禾苗通信科技有限公司,91510500MA67CPNH38,490536848783835139,62.15113377274999
250,2023-11,泸州禾苗通信科技有限公司,91510500MA67CPNH38,490536848867721219,63.15849299151001
251,2023-12,深圳市阿诺迪电子有限公司,91440300083869114Q,490544346202957846,43.11913606773
252,2023-12,深圳市恺成科技有限公司,91440300MA5FBPJ335,490575350246467606,41.6532398965
253,2023-12,深圳市兰盾科技有限公司,91440300359085805H,490577910265020419,44.396251335769996
254,2023-07,东莞市众诚精密科技有限公司,91441900MA51UW9EX5,491438490546864136,44.79132760223
255,2023-09,深圳市龙耀供应链管理有限公司,91440300MACLER2P53,491438548512145416,35.58674611577
256,2023-09,深圳市灏鑫达电子科技有限公司,91440300070384265G,491438585287802888,51.966126313489994
257,2023-10,深圳市梦云星城电子科技有限公司,91440300MA5H42A02Q,491438618892566536,44.10235301920999
258,2023-10,深圳市赛特恩电子有限公司,91440300050466802G,491438652765765640,48.88011331751001
259,2023-10,深圳市俊峰时代科技有限公司,91440300MA5HBRQJ6K,491438689105215496,43.327488147880004
260,2023-12,江西盛泰精密光学有限公司,91360521MA38YHLA7N,491438720713490440,47.766770516959994
261,2023-12,盛泰光电科技股份有限公司,91500111MA5YU65Y75,491438755878535176,49.81718017106
262,2023-12,深圳市滨江智能装备科技有限公司,91440300MA5EE4YH1W,491438793459499016,35.50457881098
263,2023-12,深圳市有氧智造科技有限公司,91440300MA5GN66Y9C,491438823960477704,51.48322368251
