,#,attrubute_month,enterprise_name,usc_id,claim_id,score,总分
98,99,2023-11,深圳市德智欣科技有限公司,91440300691177752R,486082070402039811,,52.8992570762
99,100,2022-11,深圳市阳和通电子有限公司,914403000944108271,486082070737584131,,53.93965699431
100,101,2023-04,深圳市阳和通电子有限公司,914403000944108271,486082071089905667,,51.444189451529994
101,102,2023-08,深圳市阳和通电子有限公司,914403000944108271,486082071190568963,,50.270328943189995
102,103,2023-04,深圳市阳和通电子有限公司,914403000944108271,486082071240900611,,51.444189451529994
103,104,2023-11,深圳市阳和通电子有限公司,914403000944108271,486082071408672771,,50.21903873153
104,105,2022-12,深圳市美之尚生态食品有限公司,91440300MA5GN2P005,486082071760994307,,27.55672292666
105,106,2022-12,厦门乐韵瑞科技有限公司,91350200MA31RD1P7H,486082072146870275,,32.93702574261
106,107,2022-12,南京乐韵瑞信息技术有限公司,91320115057958105F,486082072700518403,,39.69014623513
107,108,2023-02,深圳市道格恒通科技有限公司,9144030031164214X9,486082073254166531,,47.99054314329
108,109,2023-06,深圳市道格恒通科技有限公司,9144030031164214X9,486082073438715907,,51.51445853554001
109,110,2023-07,深圳市道格恒通科技有限公司,9144030031164214X9,486082073606488067,,51.51445853554001
110,111,2023-08,深圳市道格恒通科技有限公司,9144030031164214X9,486082073690374147,,51.51445853554001
111,112,2023-02,深圳市天耀电子有限公司,914403006911707615,486082074093027331,,36.52951276627999
112,113,2023-09,深圳市天耀电子有限公司,914403006911707615,486082074428571651,,41.22203452527
113,114,2023-03,广西世纪创新显示电子有限公司,91450100MA5P4XQG7L,486082074764115971,,46.27019890944
114,115,2023-09,广西世纪创新显示电子有限公司,91450100MA5P4XQG7L,486082074948665347,,49.562533030379996
115,116,2023-09,广西世纪创新显示电子有限公司,91450100MA5P4XQG7L,486082075049328643,,49.562533030379996
116,117,2023-11,广西世纪创新显示电子有限公司,91450100MA5P4XQG7L,486082075166769155,,49.86042677316
117,118,2023-03,恩施市致纯电子材料有限公司,91422801MA49BB7FX0,486082075619753987,,38.89845442515
118,119,2023-04,深圳市仁天芯科技有限公司,91440300056167002P,486082076458614787,,44.34555600400999
119,120,2023-04,深圳市三利达电器科技有限公司,91440300088298699C,486082077029040131,,43.803308886349996
120,121,2023-04,山东京北科通电子科技有限公司,91371400MA3FAAW522,486082077633019907,,47.92163146600999
121,122,2023-04,北京京北通宇电子元件有限公司山东分公司,913714000906732403,486082078002118659,,38.32039852029
122,123,2023-05,北京京北通宇电子元件有限公司山东分公司,913714000906732403,486082078337662979,,39.67503832651
123,124,2023-04,北京京北通宇电子元件有限公司,91110108061342653F,486082078706761731,,41.81000991338999
124,125,2023-05,深圳市多科电子有限公司,91440300085707442K,486082079277187075,,47.55507732235
125,126,2023-09,深圳市多科电子有限公司,91440300085707442K,486082079528845315,,46.01787732235
126,127,2023-06,泸州聚信达科技有限责任公司,91510504MA69PM803W,486082079814057987,,30.505966965469998
127,128,2023-06,深圳市捷龙存储科技有限公司,91440300MA5EXC5DXF,486082080334151683,,40.58179669199
128,129,2023-07,江西瑞康技术有限公司,91360481MA7DJF970H,486082082498412547,,37.91629549289
129,130,2023-07,朗星辉电子设备（深圳）有限公司,91440300561547188Y,486082082833956867,,54.72601540419
130,131,2023-07,深圳市泰和电子通讯有限公司,91440300MA5EEYPFXM,486082083169501187,,41.632089821390004
131,132,2023-09,深圳市南基科技有限公司,914403003295707976,486082083521822723,,41.76758542011
132,133,2023-09,深圳市传奇数码有限公司,914403007716214466,486082083840589827,,49.17232223768999
133,134,2022-11,德中（深圳）激光智能科技有限公司,91440300MA5FC82P4D,486083021401751555,,39.67896875957
134,135,2023-10,德中（深圳）激光智能科技有限公司,91440300MA5FC82P4D,486083021586300931,,45.035551575309995
135,136,2022-11,广东德中设备租赁有限公司,91440300MA5FYENP4M,486083021686964227,,41.292883337030005
136,137,2023-10,广东德中设备租赁有限公司,91440300MA5FYENP4M,486083021737295875,,33.978317287029995
137,138,2022-11,肇庆鸿天压铸有限公司,914412007750977922,486083022089617411,,50.60535995239
138,139,2022-11,肇庆鸿天金属有限公司,9144128330402284X1,486083022391607299,,40.53814060804999
139,140,2022-12,肇庆鸿天科技有限公司,91441200677127708Q,486083022945255427,,40.77413351491
140,141,2023-04,深圳市中易腾达科技股份有限公司,9144030079172256X3,486083343088091139,,48.690092075470005
141,142,2023-07,深圳市中易腾达科技股份有限公司,9144030079172256X3,486083343289417731,,47.52501095109
142,143,2023-06,深圳市中易腾达科技股份有限公司,9144030079172256X3,486083343322972163,,48.099440635469996
143,144,2023-11,深圳市中易腾达科技股份有限公司,9144030079172256X3,486083343490744323,,45.500780660340006
144,145,2023-06,东莞市中维畅想电器有限公司,91441900572350073C,486083343960506371,,37.861421629949994
145,146,2023-06,惠州立兴金属制品厂有限公司,914413227649260653,486083346107990019,,50.93472092431
146,147,2023-07,广东德一实业有限公司,91441381MA5619UU8D,486083346460311555,,42.24255643200999
147,148,2023-07,深圳市天磁科技有限公司,91440300MA5F851C1E,486083347047514115,,45.23953810335
148,149,2023-08,深圳市鹏电光学有限公司,91440300058965921C,486083347517276163,,40.24830146355
149,150,2023-08,东莞市伟峰印刷有限公司,91441900765706435B,486083348020592643,,51.17232338855
150,151,2023-05,深圳市金鸿瑞电子有限公司,91440300085703038H,486086421958885379,,49.313859809049994
151,152,2023-10,深圳市金鸿瑞电子有限公司,91440300085703038H,486086422143434755,,51.436462357930004
152,153,2023-06,深圳市迈迪杰电子科技有限公司,91440300683787219G,486086422680305667,,49.4598006906
153,154,2023-07,深圳品创兴科技有限公司,91440300691192370A,486086422999072771,,43.759074579529994
154,155,2023-07,深圳市联合光学技术有限公司,91440300MA5DLLPM9H,486086423485612035,,45.26408991865
155,156,2023-07,海南省海山能源科技发展有限公司,91460108MA5TU9K16N,486086423905042435,,39.205240602269996
156,157,2023-07,威海联合影像有限公司,91371081MA3M35RQ7Y,486086424458690563,,41.10775103104
157,158,2023-07,慕晨国际电子商务有限公司,91340207MA2MU4UR74,486086424727126019,,51.10091703370999
158,159,2023-07,深圳沛喆微电子有限公司,914403003428058374,486086425146556419,,41.19990296153
159,160,2023-08,深圳创盈芯实业有限公司,91440300MA5DRN3C5F,486086427528921091,,51.52742249122
160,161,2023-08,深圳市慕晨科技有限公司,91440300MA5EJ0GY20,486086427847688195,,44.90363484063
161,162,2023-08,深圳海荻威光电科技有限公司,914403000504565240,486086428149678083,,33.86076460905
162,163,2023-08,北京盟创科技有限公司,91110116760918332Q,486086428518776835,,45.11610724815
163,164,2023-08,深圳致赢科技有限公司,91440300MA5FCX312X,486086428904652803,,35.85522166455
164,165,2023-08,深圳新光台电子科技有限公司,91440300071131008W,486086429340860419,,49.10791956213
165,166,2023-09,深圳市创通易购科技有限公司,91440300MA5F4W930N,486086429827399683,,52.99065252983
166,167,2023-09,深圳市世纪创新显示电子有限公司,91440300MA5FNX005J,486086430095835139,,45.15202005351
167,168,2023-09,深圳市欧朗博科技有限公司,91440300342723874D,486086430599151619,,42.20654252953
168,169,2023-06,北京捷士盟科技有限公司,91110108327286477T,486086676637024259,,47.913861393130006
169,170,2023-06,东莞市谦腾科技有限公司,91441900MABUA39K89,486086677090009091,,34.50490719532
170,171,2023-07,东莞市谦腾科技有限公司,91441900MABUA39K89,486086677341667331,,34.50490719532
171,172,2023-06,湖北世纪联合创新科技有限公司,91420500MA48B1ALXL,486086677593325571,,45.892843374929996
172,173,2023-11,湖北世纪联合创新科技有限公司,91420500MA48B1ALXL,486086677828206595,,44.944241721699996
173,174,2023-07,深圳市新四季信息技术有限公司,914403005586547402,486086678331523075,,37.59031261451
174,175,2023-07,江西新四季科技有限公司,91360402MA38MBJA25,486086678667067395,,34.828129664849996
175,176,2023-07,深圳市博锐高科科技有限公司,91440300094336313F,486086679170383875,,47.17175582018999
176,177,2023-07,慕晨国际电子商务有限公司,91340207MA2MU4UR74,486086679673700355,,46.51418005475
177,178,2023-07,浙江腾视智驾科技有限公司,91330183MA2KH4P797,486086680009244675,,38.66122187492999
178,179,2023-08,湖北丹桥电子有限公司,91420381MABUME0F54,486086680495783939,,32.76076042992
179,180,2023-08,深圳市华芯龙半导体有限公司,91440300MA5HNY376A,486086680848105475,,29.727171796489998
180,181,2023-08,深圳市金凯博科技有限公司,91440300763498732P,486086681183649795,,28.400382617110004
181,182,2023-08,安徽烽云世纪科技有限公司,91341300MA2TQGFAXD,486086681468862467,,41.46175002133
182,183,2023-09,深圳市欧朗博科技有限公司,91440300342723874D,486086681703743491,,37.61980555057
183,184,2023-09,深圳市芯微晟科技有限公司,91440300MA5F5TF1XR,486086682190282755,,51.307686729489994
184,185,2023-09,重庆市天实精工科技有限公司,91500112MA5U40QP5W,486086682693599235,,49.560043316149994
185,186,2023-09,深圳市铨天科技有限公司,91440300MA5GY7CP63,486086682945257475,,53.86738769015
186,187,2023-09,深圳市铨兴科技有限公司,91440300MA5DJ3H835,486086683196915715,,40.07260111403
187,188,2023-10,深圳市一恒科电子科技有限公司,914403000758070609,486086683700232195,,49.44725679605
188,189,2023-06,深圳市顺为信立科技有限公司,91440300MA5GCXBE05,486087409331601411,,44.307977614310005
189,190,2023-06,深圳市芯科睿电子科技有限责任公司,91440300MA5F1NW95M,486087409633591299,,38.359306041610004
190,191,2023-06,深圳市鲸刚科技有限公司,91440300MA5GK174XR,486087409935581187,,38.45793049557
191,192,2023-06,深圳市源微创新实业有限公司,91440300398508006X,486087410187239427,,50.3614408388
192,193,2023-07,汇钜电科（东莞）实业有限公司,91441900MA518B0W2Y,486087410489229315,,53.96124304631
193,194,2023-07,广州紫麦科技有限公司,91440106347403386C,486087410858328067,,33.68387955449
194,195,2023-07,广州茂晨科技有限公司,91440101MA59N12D19,486087411126763523,,38.81505803453
195,196,2023-07,杭州川保电子科技有限公司,91330110MA2J1JP04F,486087411395198979,,34.32601093001
196,197,2023-06,东莞市谦腾科技有限公司,91441900MABUA39K89,486087411663634435,,28.44148178008
197,198,2023-07,东莞市谦腾科技有限公司,91441900MABUA39K89,486087411932069891,,28.44148178008
198,199,2023-07,上海业声电子科技有限公司,91310114MA1GT0D04C,486087412133396483,,36.55933776265
199,200,2023-07,深圳图美客商用显示设备有限公司,914403000561959868,486087412368277507,,30.213129848949997
200,201,2023-07,江西瑞德电子有限公司,91360481MA35YPTC3R,486087412603158531,,44.84296815619
201,202,2023-07,深圳银翔合众实业有限公司,91440300597784062E,486087413022588931,,42.751965958469995
202,203,2023-08,深圳芯邦科技股份有限公司,914403007741138342,486087413324578819,,54.33346373254
203,204,2023-08,深圳弘毅智造科技有限公司,91440300MA5FEL767P,486087413693677571,,40.69975802001
204,205,2023-08,深圳市新盈恒科技有限公司,91440300MA5GC2829G,486087414062776323,,33.32235188867
205,206,2023-08,深圳市富芯通科技有限公司,91440300MA5EJCP8XB,486087414465429507,,41.05129144153
206,207,2023-08,深圳市晶测科技有限公司,91440300MA5ET9NG98,486087414834528259,,45.82312645818999
207,208,2023-09,深圳市晶测科技有限公司,91440300MA5ET9NG98,486087414935191555,,45.82312645818999
